# fault state: note that stresses are only those due to slip and do not include background stress
#    pos_1/W    pos_2/W       area        s_c    m_d*s_n           u_s           u_n           u_d           s_s           s_n           s_d pach#  grp#
 1.508e+00  6.488e-01  2.445e+00  1.166e+03  1.896e+01  8.820207e-01  0.000000e+00  7.107613e-02 -1.126976e+03  6.319520e+01 -4.655849e+01    77     0
 1.503e+00  5.752e-01  2.428e+00  1.155e+03  1.789e+01  9.012699e-01  0.000000e+00  7.875984e-02 -1.118496e+03  5.963904e+01 -6.153989e+01    78     0
 1.496e+00  5.012e-01  2.407e+00  1.142e+03  1.701e+01  8.916873e-01  0.000000e+00  8.412136e-02 -1.107668e+03  5.669313e+01 -7.606734e+01    79     0
 1.488e+00  4.270e-01  2.380e+00  1.128e+03  1.645e+01  8.640481e-01  0.000000e+00  8.810701e-02 -1.094547e+03  5.484745e+01 -9.003613e+01    80     0
 1.478e+00  3.526e-01  2.350e+00  1.112e+03  1.609e+01  8.247083e-01  0.000000e+00  9.108000e-02 -1.079198e+03  5.364483e+01 -1.033473e+02    81     0
 1.467e+00  2.781e-01  2.314e+00  1.094e+03  1.587e+01  7.778741e-01  0.000000e+00  9.312575e-02 -1.061699e+03  5.291522e+01 -1.159086e+02    82     0
 1.454e+00  2.036e-01  2.275e+00  1.074e+03  1.580e+01  7.266164e-01  0.000000e+00  9.423936e-02 -1.042137e+03  5.267855e+01 -1.276355e+02    83     0
 1.440e+00  1.291e-01  2.231e+00  1.052e+03  1.580e+01  6.732094e-01  0.000000e+00  9.440543e-02 -1.020609e+03  5.265142e+01 -1.384515e+02    84     0
 1.425e+00  5.479e-02  2.184e+00  1.029e+03  1.580e+01  6.193756e-01  0.000000e+00  9.364129e-02 -9.972185e+02  5.266377e+01 -1.482895e+02    85     0
 1.408e+00 -1.935e-02  2.133e+00  1.004e+03  1.581e+01  5.664760e-01  0.000000e+00  9.200787e-02 -9.720799e+02  5.270913e+01 -1.570916e+02    86     0
 1.390e+00 -9.323e-02  2.078e+00  9.772e+02  1.580e+01  5.153960e-01  0.000000e+00  8.958519e-02 -9.453126e+02  5.266279e+01 -1.648101e+02    87     0
